리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,리뷰5,new리뷰,토큰화된리뷰
주방에서 직원분들이 실수로 그릇을 떨어뜨려 깨진 상황의 사진이고 보다싶이 자리쪽으로 다 튀었습니다 제 옷에도 유리파편이 다 튀었지만 사과는 없었고 식사전부터 식사 후 까지도 치우지 않는 모습이 너무 위험했습니다그리고 가게 나갈때 그릇 조심해주세요 라고 하니 고개만 까딱하는 남자직원분 모습에맛을 떠나 다시 방문하기가 싫어졌습니다사진도 보다싶이 식사 후 사진입니다,양식,"['없다', '위험하다', '싫어지다', '이다']",없다 위험하다 싫어지다 이다,없다 위험하다 싫어지다 이다,0,"['없다', '위험하다', '싫어지다', '이다']","['없다', '위험하다', '싫어지다', '이다']","[3, 147, 218, 11]"
인가족 대게 마리와 식사 비용 합이 만원헐 럭셔리 뷔페도 이보다 저렴할듯대게 맛이라도 그래였음 괜찮아라고 보상이 될텐데무슨맛인지 그냥 게맛이네대게가 생각나면 돈이 너무 아까울듯내생애 이런 거액을 투자하고 기분나쁘긴 처음,해산물,"['저렴하다', '그렇다', '괜찮다', '아깝다', '이렇다', '나쁘다']",저렴하다 그렇다 괜찮다 아깝다 이렇다 나쁘다,저렴하다 그렇다 괜찮다 아깝다 이렇다 나쁘다,0,"['저렴하다', '그렇다', '괜찮다', '아깝다', '이렇다', '나쁘다']","['저렴하다', '그렇다', '괜찮다', '아깝다', '이렇다', '나쁘다']","[68, 12, 17, 20, 37, 18]"
오픈런하면 대기없이 가능 그러나 왜 오픈런을 해야하는지 모르겠는 맛과 금액 ㅋㅋㅋ 그냥 주변에 밥 먹을 때가 없고 관광지라 그거 하나만 보고가면 만족스러울듯해요  창가에 앉는게 아니라면 더더욱 갈 이유가 ,한식,"['없다', '만족스럽다', '아니다']",없다 만족스럽다 아니다,없다 만족스럽다 아니다,0,"['없다', '만족스럽다', '아니다']","['없다', '만족스럽다', '아니다']","[3, 60, 6]"
가격대비 음식은 보통이구요디저트는 괜찮아요근데 좀 많이 비싼거 같아요,양식,"['괜찮다', '비싸다', '같다']",괜찮다 비싸다 같다,괜찮다 비싸다 같다,0,"['괜찮다', '비싸다', '같다']","['괜찮다', '비싸다', '같다']","[17, 9, 5]"
한옥카페인데 정말 넓고 인테리어 분위도 좋고 이런곳이 울산에 있어서 너무 좋은거같아요 보통 예쁘면 맛은 기대안하는데 음료진짜 미친맛입니당 ㅎㅎ 포밍멜로우꼭 드셔보세요,카페,"['넓다', '좋다', '있다', '좋다', '같다', '예쁘다', '미치다', '이다']",넓다 좋다 있다 좋다 같다 예쁘다 미치다 이다,넓다 좋다 있다 좋다 같다 예쁘다 미치다 이다,1,"['넓다', '좋다', '있다', '좋다', '같다', '예쁘다', '미치다', '이다']","['넓다', '좋다', '있다', '좋다', '같다', '예쁘다', '미치다', '이다']","[16, 2, 4, 2, 5, 28, 81, 11]"
벌써 서양식당에 몇번째 방문이네요양도 많고 음식이 다  맛있어요서양식당  외식  장소로 추천입니다,양식,"['많다', '맛있다', '이다']",많다 맛있다 이다,많다 맛있다 이다,1,"['많다', '맛있다', '이다']","['많다', '맛있다', '이다']","[8, 1, 11]"
음료 빵이 지나치게 비쌈 특히 빵이 창렬함,카페,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
친구가 맛집추천으로 와봤는데 너무 맛있네요다음에 또 방문 예정입니다,양식,"['맛있다', '이다']",맛있다 이다,맛있다 이다,1,"['맛있다', '이다']","['맛있다', '이다']","[1, 11]"
자꾸 먹는데 치워싸서 싫었습니다 여유로운 레스토랑 쫌더 여유롭게 즐길수 있었으면 합니다 저번부터 빵도 안챙겨주시네요 바뀐건지 물어보질 않네요,양식,"['싫다', '있다']",싫다 있다,싫다 있다,0,"['싫다', '있다']","['싫다', '있다']","[49, 4]"
층에서 빵만 사간다면 불만없음 근데 먹고 갈 수 있는 가게이면 빵 잘라주는 서비스가 있었으면 한다 그리고 비가 오늘 날씨에 방문했는데 우산 씌우는 비닐 보충 안 함 비닐 없냐고 물었는데 없대서 그냥 우산 갖고 들어감 아무튼 매장에 앉아 음료 마셨는데 망가지고 더러운 의자 한 두개가 아님 바닥도 더럽고 매장 규모에 비해 종업원이 부족해 보입니다 진정한 빵 맛집 앞으론 빵 포장 구매만 하려고요,디저트,"['없다', '있다', '있다', '없다', '없다', '더럽다', '아니다', '더럽다', '부족하다', '진정하다']",없다 있다 있다 없다 없다 더럽다 아니다 더럽다 부족하다 진정하다,없다 있다 있다 없다 없다 더럽다 아니다 더럽다 부족하다 진정하다,0,"['없다', '있다', '있다', '없다', '없다', '더럽다', '아니다', '더럽다', '부족하다', '진정하다']","['없다', '있다', '있다', '없다', '없다', '더럽다', '아니다', '더럽다', '부족하다', '진정하다']","[3, 4, 4, 3, 3, 62, 6, 62, 39]"
간짜장에 양파밖에 없음 이런거 처음 먹어봄 심지어 볶지도 않음,중식,"['없다', '이렇다']",없다 이렇다,없다 이렇다,0,"['없다', '이렇다']","['없다', '이렇다']","[3, 37]"
괜찮아요 주차가 힘들지만,카페,"['괜찮다', '힘들다']",괜찮다 힘들다,괜찮다 힘들다,0,"['괜찮다', '힘들다']","['괜찮다', '힘들다']","[17, 24]"
디저트 종류가 많아서 골라먹는 재미가있네요 많이 시켰는데 맛있어서 순삭했습니당 커피도 깔끔하고 매장 넓어서 대화하기 좋았습니다,카페,"['많다', '있다', '맛있다', '깔끔하다', '넓다', '좋다']",많다 있다 맛있다 깔끔하다 넓다 좋다,많다 있다 맛있다 깔끔하다 넓다 좋다,1,"['많다', '있다', '맛있다', '깔끔하다', '넓다', '좋다']","['많다', '있다', '맛있다', '깔끔하다', '넓다', '좋다']","[8, 4, 1, 15, 16, 2]"
공휴일엔 점심특선이 원래 없나요 서울이랑 인천엔 주말에도 점심특선 되던데 메뉴 주문하고 분 정도 기다렸고요 저희거만 안나와서 여쭤보니 까먹으신거 같았고요 전체적으로 경기권보다는 서비스가 떨어지긴 한거 같습니다 ㅠㅠ 장국도 다 식어있고,일식,"['없다', '같다', '같다']",없다 같다 같다,없다 같다 같다,0,"['없다', '같다', '같다']","['없다', '같다', '같다']","[3, 5, 5]"
음식들이 깔끔하고 너무 맛있어요 가격도 저렴하고 짱입니다 재방문 에요,일식,"['깔끔하다', '맛있다', '저렴하다', '이다']",깔끔하다 맛있다 저렴하다 이다,깔끔하다 맛있다 저렴하다 이다,1,"['깔끔하다', '맛있다', '저렴하다', '이다']","['깔끔하다', '맛있다', '저렴하다', '이다']","[15, 1, 68, 11]"
반 개도 아까움 진짜 고기가 엄청 질기고 말라있어요,한식,"['아깝다', '말르다']",아깝다 말르다,아깝다 말르다,0,"['아깝다', '말르다']","['아깝다', '말르다']","[20, 101]"
항정살 덮밥의 고기가 맜있어요 추천합니당파스타도 처음에는 안맵다가 점점 매움이 느껴져요 매운음식 좋아하면 추천해요 적당해요 다음에도 올 것 같아요,양식,"['맵다', '좋아하다', '적당하다', '같다']",맵다 좋아하다 적당하다 같다,매다 좋아하다 적당하다 같다,1,"['매다', '좋아하다', '적당하다', '같다']","['매다', '좋아하다', '적당하다', '같다']","[50, 23, 66, 5]"
투움바파스타가 아쉽네요 너무 오버쿡된거 같앗어요,양식,"['아쉽다', '같다']",아쉽다 같다,아쉽다 같다,0,"['아쉽다', '같다']","['아쉽다', '같다']","[10, 5]"
조금 비싸긴한데 비싼만큼 맛있네요알리오올리오 완전 강추입니다,양식,"['비싸다', '비싸다', '맛있다', '이다']",비싸다 비싸다 맛있다 이다,비싸다 비싸다 맛있다 이다,0,"['비싸다', '비싸다', '맛있다', '이다']","['비싸다', '비싸다', '맛있다', '이다']","[9, 9, 1, 11]"
주말 저녁에 갔는데라스트 오더 시분제가 방문한 시간 시분새로운 음식이 짜증날 정도로 안나옴샐러드바는 파장상태애들이 먹고 싶어한 떡볶이는 이야기하니 분 걸려 나옴결론은 늦은시간 방문시 돈쓰고 기분 더럽고점장 불러서 한마디 하고 싶었으나 애들이랑 있어서 꾹 참고 왔습니다,양식,"['새롭다', '짜증나다', '더럽다', '있다']",새롭다 짜증나다 더럽다 있다,새롭다 짜증나다 더럽다 있다,0,"['새롭다', '짜증나다', '더럽다', '있다']","['새롭다', '짜증나다', '더럽다', '있다']","[51, 94, 62, 4]"
배정받아 앉은 테이블 기기가 사진 속 화면처럼 뜨길래 직원분께 말씀드리니 주말이라 손님이 많고 이 레일 자리가 조금 문제가 있지만 분 정도 기다리고 사용을 하면 된다고 안내를 받아 불편하지만 그냥 사용하려고 했습니다근데 번을 터치하면 번 저 화면이 떠서 도저히 주문도 식사도 정상적으로 못하는 수준이였습니다 그런데도 직원분은 원래 그렇다는 식으로 안내를 하며 자리가 비면 다른 자리로 옮겨준다는 말만 하였습니다 당일 주말 저녁으로 바로 자리 옮길수도 없었는데 이미 스트레스를 받은 상태로 먹던것만 먹고 나왔습니다 사과는 형식적으로 하셨고 할인 해주신다고 하며 천원 할인 해주셨습니다 근데 이것도 저희 동의없이 해주시더라구요조치를 취하셔야겠네요내돈내고 밥먹고 이러니 정말 불쾌하네요,일식,"['많다', '있다', '불편하다', '그렇다', '그렇다', '없다', '불쾌하다']",많다 있다 불편하다 그렇다 그렇다 없다 불쾌하다,많다 있다 불편하다 그렇다 그렇다 없다 불쾌하다,0,"['많다', '있다', '불편하다', '그렇다', '그렇다', '없다', '불쾌하다']","['많다', '있다', '불편하다', '그렇다', '그렇다', '없다', '불쾌하다']","[8, 4, 13, 12, 12, 3, 76]"
종류가 많아 행복해요,디저트,"['많다', '행복하다']",많다 행복하다,많다 행복하다,1,"['많다', '행복하다']","['많다', '행복하다']","[8, 77]"
기본맛 신라면 정도라 하셨는데 그거보단 안매운듯해용 다음엔 더 맵게해서 먹어볼게요맛있게 먹고갑니당,한식,"['맵다', '맛있다']",맵다 맛있다,매다 맛있다,1,"['매다', '맛있다']","['매다', '맛있다']","[50, 1]"
신선한 회도 서비스 주시고 속살이 가득했어요 네이버로 미리 예약해서 도 받고 맛있게 잘 먹고 왔습니다,해산물,"['신선하다', '가득하다', '맛있다']",신선하다 가득하다 맛있다,신선하다 가득하다 맛있다,1,"['신선하다', '가득하다', '맛있다']","['신선하다', '가득하다', '맛있다']","[34, 114, 1]"
아이와 같이 와서 맛있게먹고갑니다,중식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
음식은 맛나게 잘먹었어요아쉬운점은 명예약 좌석이 너무 불편했어요명좌석은 개인 의자라 괜찮았지만 나머지 분은 인용 쇼파에 같이 안아 음식을드시다보니 매번 가지러 가실때마다 바깥쪽에 안은분이 매번 일어나야하는 불편함이 있었어요 인쇼파보다 개인 의자로 교체하시면 음식 가지러 가실때 서로 불편함이 없을듯합니다쇼파또한 쿠션감이 너무 내려안아 끝에안아 드셨다고 합니다이런 불편함을 좀 해결해주시면 더 편안한 공간에서 맛난 음식과 즐거운시간이 되지 안을까 싶습니다,양식,"['아쉽다', '불편하다', '괜찮다', '불편하다', '있다', '불편하다', '없다', '이렇다', '불편하다', '편안하다', '즐겁다']",아쉽다 불편하다 괜찮다 불편하다 있다 불편하다 없다 이렇다 불편하다 편안하다 즐겁다,아쉽다 불편하다 괜찮다 불편하다 있다 불편하다 없다 이렇다 불편하다 편안하다 즐겁다,0,"['아쉽다', '불편하다', '괜찮다', '불편하다', '있다', '불편하다', '없다', '이렇다', '불편하다', '편안하다', '즐겁다']","['아쉽다', '불편하다', '괜찮다', '불편하다', '있다', '불편하다', '없다', '이렇다', '불편하다', '편안하다', '즐겁다']","[10, 13, 17, 13, 4, 13, 3, 37, 13, 142, 64]"
굳이 찾아가서 먹을정돈 아닌데위생 너무 심각 화장실 심각 고기도 생각보다 별로 그리고 테이블값 천원받을 정도의 퀄리티는 아님 냉면 시켰더니 면이 끝까지 안풀어짐,한식,"['아니다', '아니다']",아니다 아니다,아니다 아니다,0,"['아니다', '아니다']","['아니다', '아니다']","[6, 6]"
한가할때는 몇번씩오셔서 음식이어떤지 필요한것은없는지 너무자주오셔서 부담스러웠는데바쁜시간때 갔더니 식사중 이야기나눈다고 포크 놓고있기 무섭게 치워드릴까 후식드릴까 네번이나물어보시더라 아이고야 나중에 일행이 눈치너무보여서 못있겠다고 나가자고 하고 한마다할랬더니 참으래서 참았습니다 후식도 그냥 들고나왔습니다 심지어 주문할때 스테이크굽기는 물어보지도않았네요아무리바빠도 기본예의는지켜주여야죠 다음에 또 이러면 정말 화내고올것같습니다,양식,"['한가하다', '어떻다', '필요하다', '없다', '부담스럽다', '바쁘다', '무섭다', '있다', '바쁘다', '같다']",한가하다 어떻다 필요하다 없다 부담스럽다 바쁘다 무섭다 있다 바쁘다 같다,한가하다 어떻다 필요하다 없다 부담스럽다 바쁘다 무섭다 있다 바쁘다 같다,0,"['한가하다', '어떻다', '필요하다', '없다', '부담스럽다', '바쁘다', '무섭다', '있다', '바쁘다', '같다']","['한가하다', '어떻다', '필요하다', '없다', '부담스럽다', '바쁘다', '무섭다', '있다', '바쁘다', '같다']","[171, 56, 57, 3, 105, 22, 189, 4, 22, 5]"
음식도 신선한게 느껴지고 너무 맛있고 친절해서 기분이 너무 좋았어요  다시 방문하고 싶은 곳입니다,한식,"['신선하다', '맛있다', '친절하다', '좋다', '이다']",신선하다 맛있다 친절하다 좋다 이다,신선하다 맛있다 친절하다 좋다 이다,1,"['신선하다', '맛있다', '친절하다', '좋다', '이다']","['신선하다', '맛있다', '친절하다', '좋다', '이다']","[34, 1, 7, 2, 11]"
앞전 여행가다 카페일때 자주왔었는데 새롭게 리모델링되고 처음 방문했는데 인테리어 너무 고급지고 깔끔하고 이뻐요 햇빛쨍쨍할때와도 너무 좋을것같아요,카페,"['새롭다', '깔끔하다', '이쁘다', '좋다', '같다']",새롭다 깔끔하다 이쁘다 좋다 같다,새롭다 깔끔하다 이쁘다 좋다 같다,1,"['새롭다', '깔끔하다', '이쁘다', '좋다', '같다']","['새롭다', '깔끔하다', '이쁘다', '좋다', '같다']","[51, 15, 32, 2, 5]"
분위기 좋고 매장 넓어서 좋아요 식기들도 하나하나 다 예쁘고 되게 감각적인 느낌 연말에 오길 잘했다음식이 전반적으로 깔끔하구 스테이크 최고나만알고싶은 스테이크집이에여 진짜 ㅠㅠㅠㅠ,양식,"['좋다', '넓다', '좋다', '예쁘다', '깔끔하다']",좋다 넓다 좋다 예쁘다 깔끔하다,좋다 넓다 좋다 예쁘다 깔끔하다,1,"['좋다', '넓다', '좋다', '예쁘다', '깔끔하다']","['좋다', '넓다', '좋다', '예쁘다', '깔끔하다']","[2, 16, 2, 28, 15]"
맛있어요,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
일단 매장 디테일이 살아있어요 맛도 좋고 깨끗하거 좋아요 ,일식,"['좋다', '깨끗하다', '좋다']",좋다 깨끗하다 좋다,좋다 깨끗하다 좋다,1,"['좋다', '깨끗하다', '좋다']","['좋다', '깨끗하다', '좋다']","[2, 38, 2]"
너무 맛있게 잘먹었습니다,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
반찬이라고 해봐야 절임무 단무지 온육수밖에  없는데 물밀면 보통사이즈 천원은 너무 아닌것 같네요 게다가 천원 올린지 얼마 되지도 않았는데 또 올린겁니다 계란도 반개도 아니고  정도 넣어줍니다 ,한식,"['없다', '아니다', '같다', '아니다']",없다 아니다 같다 아니다,없다 아니다 같다 아니다,0,"['없다', '아니다', '같다', '아니다']","['없다', '아니다', '같다', '아니다']","[3, 6, 5, 6]"
맛있어요 ,퓨전,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
삼계탕 국물이 끝내줌 거기에 닭불고기 같은게 나오는데 부드럽고 맛남 ㅋㅋ 반찬에 닭똥집이 오래 둿는지 좀 딱딱한 느낌이 있었지만 괜춘함 ㅋ 닭배 안에 찹쌀밥 같은게 많이 들어있어서 배부르게 먹음 ㅋㅋ,한식,"['끝내주다', '같다', '부드럽다', '딱딱하다', '있다', '같다', '배부르다']",끝내주다 같다 부드럽다 딱딱하다 있다 같다 배부르다,끝내주다 같다 부드럽다 딱딱하다 있다 같다 배부르다,1,"['끝내주다', '같다', '부드럽다', '딱딱하다', '있다', '같다', '배부르다']","['끝내주다', '같다', '부드럽다', '딱딱하다', '있다', '같다', '배부르다']","[148, 5, 36, 86, 4, 5, 45]"
오랫만에 갔더니 맛도  별로 서비스도 별로네요다들 불친절하고 음식은 짭고양도 많이 줄었네요ㅡㅡ,양식,['불친절하다'],불친절하다,불친절하다,0,['불친절하다'],['불친절하다'],[14]
비싸지만 맛나요,한식,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
세트 구성이 좋고 맵기조절도 되고 맛있어요 ㅠㅠㅠ,한식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"['좋다', '맛있다']","['좋다', '맛있다']","[2, 1]"
맛은 나쁘지 않아요근데 음식 엄청 늦게 나오구요계산할때 사기칩니다만원이상 음료랑 소주가 더 올라가 있더라구요 맛집이고 나발이고 떠나서 사기꾼집단입니다,해산물,"['나쁘다', '있다', '이다']",나쁘다 있다 이다,나쁘다 있다 이다,0,"['나쁘다', '있다', '이다']","['나쁘다', '있다', '이다']","[18, 4, 11]"
고기도 맛있고 찌게도 넘 맛있어요 번창하세요,한식,"['맛있다', '맛있다']",맛있다 맛있다,맛있다 맛있다,1,"['맛있다', '맛있다']","['맛있다', '맛있다']","[1, 1]"
올때마다 항상 맛있게 먹고 갑니다ㅎㅎ양도 많고 친절하셔서 너무 좋아요,양식,"['맛있다', '많다', '친절하다', '좋다']",맛있다 많다 친절하다 좋다,맛있다 많다 친절하다 좋다,1,"['맛있다', '많다', '친절하다', '좋다']","['맛있다', '많다', '친절하다', '좋다']","[1, 8, 7, 2]"
야미,한식,['밉다'],밉다,밉다,0,['밉다'],['밉다'],[71]
빵 맛있어요,카페,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
넓고 분위기도 좋고 먹을것도 너무 많아서 좋았습니다생선회도 쫄깃하니 맛있고 스테이크도 맛있어요특히 디저트가 참 맛있었어요,양식,"['넓다', '좋다', '많다', '좋다', '맛있다', '맛있다', '맛있다']",넓다 좋다 많다 좋다 맛있다 맛있다 맛있다,넓다 좋다 많다 좋다 맛있다 맛있다 맛있다,1,"['넓다', '좋다', '많다', '좋다', '맛있다', '맛있다', '맛있다']","['넓다', '좋다', '많다', '좋다', '맛있다', '맛있다', '맛있다']","[16, 2, 8, 2, 1, 1, 1]"
비오는 날에 오히려 좋아용 전 맛있어오,한식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"['좋다', '맛있다']","['좋다', '맛있다']","[2, 1]"
여기 다시는 안갈것 같아요 주차공간도 좁고 음식맛도 그냥 그래요 대체로 서빙하시는 분들 불친절하고 나이드신 여직원분 정말정말 불친절해요 앞치마 달라고 세번이나 말씀드렸는데 그냥 말 무시하시고 나중에 앞치마 하나 들고오셔서 하나 더 달라고 말씀드렸는데 못들은척하시고 그냥 가시네요 가서 말씀드리니까 엄청 귀찮아하시고 바쁜건 알겠는데 직원교육먼저 똑바로 시켜주시면 좋을 것 같아요 옆자리 커플들도 기분 언짢아했어요 컵에 고춧가루 계속 나와서 두번이나 바꿔달라했는데 또 나왔네요 위생적이지 못해요 여러모로 실망했어요 음식맛도 평범해요 물국수와 된장찌개도 흠 후식으로 준 식혜가 젤 낫네요 후기보고 오신분들도 저랑 같은 생각일 것 같아요 장사도 중요하지만 직원교육부터 똑바로 시켜주세요,한식,"['같다', '좁다', '그렇다', '불친절하다', '불친절하다', '귀찮다', '바쁘다', '좋다', '같다', '언짢다', '실망하다', '평범하다', '같다', '같다', '중요하다']",같다 좁다 그렇다 불친절하다 불친절하다 귀찮다 바쁘다 좋다 같다 언짢다 실망하다 평범하다 같다 같다 중요하다,같다 좁다 그렇다 불친절하다 불친절하다 귀찮다 바쁘다 좋다 같다 언짢다 실망하다 평범하다 같다 같다 중요하다,0,"['같다', '좁다', '그렇다', '불친절하다', '불친절하다', '귀찮다', '바쁘다', '좋다', '같다', '언짢다', '실망하다', '평범하다', '같다', '같다', '중요하다']","['같다', '좁다', '그렇다', '불친절하다', '불친절하다', '귀찮다', '바쁘다', '좋다', '같다', '언짢다', '실망하다', '평범하다', '같다', '같다', '중요하다']","[5, 72, 12, 14, 14, 88, 22, 2, 5, 239, 43, 121, 5, 5, 143]"
맛은 잇네요 주차가 힘듦,한식,['힘들다'],힘들다,힘들다,0,['힘들다'],['힘들다'],[24]
음식맛은 맛있지만 분위기에 비해서 어수선하고 시끄러워요 크리스마스라 예약하고 방문했는데 음식 주문하고 주문이 안들어간건지 까먹고 안만든건지 모르겠는데 저희테이블보다 시간 더 늦게오신분들이 다들 먼저음식 다 먹고 나갔어요 모르고 그럴수도있지만 예약도했고 특별한날이라 그런지 기분이 정말 별로였어요ㅋ음식을 총개 주문했는데 사진찍고싶어 기다리다 젤 먼저나온 리조또는 다매마르고 식은걸먹고 두번째 나온 파스타는 소스에 다 떡이졌고마지막음식은 주문하고 분뒤에 받았어요 밥값만천나왔는데 돈아까웠어요ㅎ 죄송하다고 먹물리조또 튀긴거같은 음식 서비스주셨지만 기분별로였답니다,양식,"['맛있다', '어수선하다', '시끄럽다', '그렇다', '있다', '특별하다', '그렇다', '아깝다', '죄송하다', '같다']",맛있다 어수선하다 시끄럽다 그렇다 있다 특별하다 그렇다 아깝다 죄송하다 같다,맛있다 어수선하다 시끄럽다 그렇다 있다 특별하다 그렇다 아깝다 죄송하다 같다,0,"['맛있다', '어수선하다', '시끄럽다', '그렇다', '있다', '특별하다', '그렇다', '아깝다', '죄송하다', '같다']","['맛있다', '어수선하다', '시끄럽다', '그렇다', '있다', '특별하다', '그렇다', '아깝다', '죄송하다', '같다']","[1, 80, 29, 12, 4, 33, 12, 20, 48, 5]"
고기가 맛있어요,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
맛있어요 냉면맛이 바뀌어서 아쉽네요,한식,"['맛있다', '아쉽다']",맛있다 아쉽다,맛있다 아쉽다,1,"['맛있다', '아쉽다']","['맛있다', '아쉽다']","[1, 10]"
사람 많아서 바빠서 늦는거 이해합니다한번에 다 할수없는거 이해합니다하지만 다 못할거 같으면 안하는게 맞고 아님 종이에라도 적어서 하시지 저희한테 두번오신 남자분 두번다 주문 기억 못 하시더라구요,양식,"['많다', '바쁘다', '없다', '같다', '아니다']",많다 바쁘다 없다 같다 아니다,많다 바쁘다 없다 같다 아니다,0,"['많다', '바쁘다', '없다', '같다', '아니다']","['많다', '바쁘다', '없다', '같다', '아니다']","[8, 22, 3, 5, 6]"
넓은 테이블간격과 주문 후 빠르게 서빙되는 메뉴들 맛 또한 매콤함이 가미가되어 느끼함 없이 먹을수있어서 너무 매력적이였어요또한  어린이 서비스메뉴는 정말 감동이예요주차시설이 아쉬워서 별 반개 뺏어요,양식,"['넓다', '빠르다', '느끼하다', '아쉽다']",넓다 빠르다 느끼하다 아쉽다,넓다 빠르다 느끼하다 아쉽다,0,"['넓다', '빠르다', '느끼하다', '아쉽다']","['넓다', '빠르다', '느끼하다', '아쉽다']","[16, 136, 26, 10]"
