리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
사장인지 직원인지 모르겠지만매우 불친절 애기이유식좀 데우려고 전자렌지있냐 했는데 식당에서 전자렌지있냐고 묻는게 잘못인가요 여기서 왜 그걸 찾냐는 눈빛으로 없다그러시고 음식둘때도 툭툭 소리나게 두고ㅡㅡ계산할땐 카드꽂아라 빼라 손짓으로 이야기하고 영수증 달라한것도 잘못인가요 표정 썩어가지고는 바닥에 탁 소리나게 두고는 가라네요 ㅋㅋㅋㅋㅋㅋ손님이 많았던것도 아니고 진짜 이런분들은 장사할 기본이 안되어있어요 니 아니어도 올사람온다는 태도 ㅎㅎ 그렇겟죠 올사람은 오겠죠  내돈주고 내가밥먹는데 덕분에 기분만 잡치고 왔네요ㅡㅡ ,한식,"['있다', '있다', '없다', '많다', '아니다', '안되다', '아니다', '그렇다']",있다 있다 없다 많다 아니다 안되다 아니다 그렇다,있다 있다 없다 많다 아니다 안되다 아니다 그렇다,0,"[4, 4, 3, 8, 6, 19, 6, 12]"
다른 가맹점 대비 고기가 작고 살이 잘 안떨어지네요깍두기도 좀아쉬웠어요,한식,['아쉽다'],아쉽다,아쉽다,0,[10]
죄송해요 ㅠㅠ,양식,['죄송하다'],죄송하다,죄송하다,0,[48]
울산 태화강 진짜 맛집 존맛탱구리 진짜 최근 먹은 낙지중에 제일 맛있었어요,한식,['맛있다'],맛있다,맛있다,1,[1]
너무맛있게잘먹었어요 사진을 처음에 못찍어서 아쉽네요 담엔 들기름막국수먹으러 올래용,일식,"['맛있다', '아쉽다']",맛있다 아쉽다,맛있다 아쉽다,1,"[1, 10]"
더운 요즘 날씨에 딱인 음식이에요 하라검에서 ,한식,"['덥다', '딱이다']",덥다 딱이다,덥다 딱이다,0,"[25, 164]"
날ㅇ 더워서 입맛도 없고,일식,"['덥다', '없다']",덥다 없다,덥다 없다,0,"[25, 3]"
샐러드파스타가 느끼할수있다니 첨알았어요ㅜㅜ 맛없ㅜㅜㅜㅜㅜㅜㅜ 커피는 맛있어요,카페,"['느끼하다', '맛없다', '맛있다']",느끼하다 맛없다 맛있다,느끼하다 맛없다 맛있다,0,"[26, 27, 1]"
대기순번 엉망이네요 앞대기자 늘었다 줄었다고무줄같네요 결국 분 대기하고 들어갔는데손님들이 델고온 애들때매 정신없습니다ㅡㅡ애들 델고온 부모님들은 개념좀 챙기시길음식은 전체적으로 맛있고요 직원분들 친절하십니다노키즈존 했으면 좋겠네요,한식,"['같다', '없다', '맛있다', '친절하다', '좋다']",같다 없다 맛있다 친절하다 좋다,같다 없다 맛있다 친절하다 좋다,1,"[5, 3, 1, 7, 2]"
직원 분 힘드신건 알겠는데요  주문 하는 데 짜증 섞인 목소리랑 표정 좀 가관이에요 ㅋㅋ 이럴거면 서비스직 하지 마시구 집에서 쉬세요 어르신들 많이 오시던데 표정관리 좀 하세요 그것빼곤 괜찮았습니다 ㅎ,디저트,"['힘들다', '이렇다', '괜찮다']",힘들다 이렇다 괜찮다,힘들다 이렇다 괜찮다,0,"[24, 37, 17]"
매장이 너무 깔끔하고 넓고 스시맛도 좋아요 메밀소바도 같이 나오고 또 오고 싶어요 입에서 살살 녹아용,일식,"['깔끔하다', '넓다', '좋다']",깔끔하다 넓다 좋다,깔끔하다 넓다 좋다,1,"[15, 16, 2]"
가게도 깨끗하고 맛있네요 ,일식,"['깨끗하다', '맛있다']",깨끗하다 맛있다,깨끗하다 맛있다,1,"[38, 1]"
불고기 맛났지만 양이 적었어요막국수는 쫄면같은면이라 별로였어요주차하기가 힘들었고 주차하는데 분이상소요평일 시 분 방문했는데 대기분정도 했어요,한식,"['같다', '힘들다']",같다 힘들다,같다 힘들다,0,"[5, 24]"
리뷰평만 보고갔는데 음식이 기대에 많이 못미쳤음그리고 주차 공간은 딱대라서 불편함,양식,"['미치다', '불편하다']",미치다 불편하다,미치다 불편하다,0,"[81, 13]"
이봄날 가기 딱 좋아요,양식,['좋다'],좋다,좋다,1,[2]
미트볼 파스타는 꼭시켜요 환기가 안되고 씨끄러운게 단점이지만 음식은 맛있어요,양식,"['안되다', '맛있다']",안되다 맛있다,안되다 맛있다,1,"[19, 1]"
좋아요라떼 맛있어요,카페,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
케이크 진짜 장난아닙니다 짱,디저트,['아니다'],아니다,아니다,0,[6]
어쩜 이리 맛이 없는지고기도 뻑뻑하고 국물은 양파를 너무 많이 넣어서 느끼하고깍뚜기는 익지도 않아서 달달하고 또 넘 작아서 씹는맛도 없고해장국 국물과 깍뚜기 달달하고 밋밋한 맛이 같아서 승질났음그 중 제일 괜찮은건 쌈장이었음음식의 강약이 없는데 왜 맛집인지 모르겠음블로그 리뷰는 믿을게 안됨,한식,"['없다', '느끼하다', '작다', '없다', '밋밋하다', '같다', '괜찮다', '없다', '안되다']",없다 느끼하다 작다 없다 밋밋하다 같다 괜찮다 없다 안되다,없다 느끼하다 작다 없다 밋밋하다 같다 괜찮다 없다 안되다,0,"[3, 26, 44, 3, 5, 17, 3, 19]"
여기 최애 초밥맛집이에요야끼우동은 정말 맛있어요매장 분위기도 좋고 깔끔합니다,일식,"['맛있다', '좋다', '깔끔하다']",맛있다 좋다 깔끔하다,맛있다 좋다 깔끔하다,1,"[1, 2, 15]"
갈수록 이젠 그만 가야 겠다 싶어요메뉴도 달라지는게 별루 없어서 갈수록 쏘쏘하네요,한식,['없다'],없다,없다,0,[3]
디저트가 좋아요,양식,['좋다'],좋다,좋다,1,[2]
진짜 개맛있다울대학생들 너무 부러워맨날 먹을 수 있잖아,양식,"['있다', '부럽다', '있다']",있다 부럽다 있다,있다 부럽다 있다,0,"[4, 4]"
네이버엔 브레이크타임이 있길래 시간맞춰갔는데 없나보더라구요ㅎㅎㅎ생각보다 가격이 비쌌어요뷰는 너무 좋았어요,한식,"['있다', '없다', '비싸다', '좋다']",있다 없다 비싸다 좋다,있다 없다 비싸다 좋다,0,"[4, 3, 9, 2]"
매장도 너무 깔끔하고 카레가 너무 맛있었어요 분위기도 좋아서 자주 올거같네요 ,양식,"['깔끔하다', '맛있다', '좋다', '같다']",깔끔하다 맛있다 좋다 같다,깔끔하다 맛있다 좋다 같다,1,"[15, 1, 2, 5]"
바닷가 뷰해물칼국수에 들어있는 가리비  맛있어요면이  좀  작은듯  충무김밥에  꼬막무침이랑  어묵 무침  맛있어요칼국수  국물에  밥 한공기  말아서  깍두기랑  먹고 싶었는데  못 먹었네  공기밥  파는지  모르겠네 ㅎㅎ,한식,"['맛있다', '작다', '맛있다']",맛있다 작다 맛있다,맛있다 작다 맛있다,1,"[1, 44, 1]"
아주그냥 완전 맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
생각보다 양이 많고 사이드디쉬가 맛있었어요뷰맛집,양식,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"[8, 1]"
생긴지 얼마 안되서 그런지 맞은 아직 부족한듯,카페,"['안되다', '그렇다', '부족하다']",안되다 그렇다 부족하다,안되다 그렇다 부족하다,0,"[19, 12, 39]"
매장도 넓고 인테리어가 이쁩니당ㅎㅎ 메뉴도 많고 다 맛있었어요,양식,"['넓다', '이쁘다', '많다', '맛있다']",넓다 이쁘다 많다 맛있다,넓다 이쁘다 많다 맛있다,1,"[16, 32, 8, 1]"
여자 사장인듯한 사람이 진짜 불친절함 주차장 텅비었는데 밥먹고있는데 지금 나와서 주차 다시하라고 혼내고 밥다먹어 가니까 빨리 나가겠다하니 짜증 이빠이내는 곳 주차가 이상하면 내가 잘못했다하겠는데 그것도 아니고양도 너무적고 다시는 안가요,해산물,"['불친절하다', '이쁘다', '이상하다', '아니다']",불친절하다 이쁘다 이상하다 아니다,불친절하다 이쁘다 이상하다 아니다,0,"[14, 32, 65, 6]"
근처 마제소바 먹을 만한 데가 없었는데 잘 찾았네요돈카츠는 두툼하고 씹을 맛 나고 마제소바는 밥 비벼마무리 ,일식,['없다'],없다,없다,0,[3]
음료랑 빵값이 비싸네요 평일에방문했더니 한산한건지 대형카페예요,카페,"['비싸다', '한산하다']",비싸다 한산하다,비싸다 한산하다,0,"[9, 244]"
빵 맛있어요 가격이 좀 비싸서 지갑열기가 조금 무서웠지만 맛은 굿굿,카페,"['맛있다', '비싸다', '무섭다']",맛있다 비싸다 무섭다,맛있다 비싸다 무섭다,0,"[1, 9, 189]"
추운겨울 몸이 허약해 몸보신 하러 갔어요근데 간이 너무 쎈것 같아요싱겁게 드시는 분들은 먹기 힘들것 같아요,한식,"['허약하다', '쎄다', '같다', '싱겁다', '힘들다', '같다']",허약하다 쎄다 같다 싱겁다 힘들다 같다,허약하다 쎄다 같다 싱겁다 힘들다 같다,0,"[197, 5, 52, 24, 5]"
솔직히 기본 반찬이 먹을게 없었습니다메인 메뉴인 게도 살도 없고 배터지게 먹지도 못하고집에와서 배가고프다고 했어요거기다 개인적 불운으로왕복하는 국도에서 로드킬ㅠㅠ가는길이 너무 어둡네요,해산물,"['솔직하다', '없다', '없다', '고프다', '어둡다']",솔직하다 없다 없다 고프다 어둡다,솔직하다 없다 없다 고프다 어둡다,0,"[89, 3, 3, 238, 156]"
주말이라 그런지 사람이 엄청 많아요매장이 엄청큰데 사람들로 가득 찼네요층이라 답답함도 없고 아파트뷰지만 고층이라 좋은거같아요 음식은 한 삼십분 기다린거같은데 양도 많고 맛있어요 가성비 좋아요주차시간이 두시간밖에 안되서 음식기다리는 시간 등등 합치면 조금 모자라긴 해요ㅠㅠㅠ 그래서 중간에 나가서 다른곳에 주차했네요 직원분들 모두 친절하고 재방문 의사 있어요,양식,"['그렇다', '많다', '답답하다', '없다', '좋다', '같다', '같다', '많다', '맛있다', '좋다', '안되다', '친절하다', '있다']",그렇다 많다 답답하다 없다 좋다 같다 같다 많다 맛있다 좋다 안되다 친절하다 있다,그렇다 많다 답답하다 없다 좋다 같다 같다 많다 맛있다 좋다 안되다 친절하다 있다,1,"[12, 8, 160, 3, 2, 5, 5, 8, 1, 2, 19, 7, 4]"
맛있어요 기프티콘 받은거 한번에 다 못쓰면 통신사할인 안되는거 아쉽네유,양식,"['맛있다', '안되다', '아쉽다']",맛있다 안되다 아쉽다,맛있다 안되다 아쉽다,1,"[1, 19, 10]"
고기가 너무 부드럽고 맛있어요매장도 넓고 가족모임하기에 좋네요,한식,"['부드럽다', '맛있다', '넓다', '좋다']",부드럽다 맛있다 넓다 좋다,부드럽다 맛있다 넓다 좋다,1,"[36, 1, 16, 2]"
투움바 파스타 짜지않게 해달라고 했음에도 불구하고 너무 짰네요 너무 짭니다 서버들이 너무 바빠서 음료 리필 시키려고 해도 참 많이 아쉬웠네요 ,양식,"['바쁘다', '아쉽다']",바쁘다 아쉽다,바쁘다 아쉽다,0,"[22, 10]"
좋아요,퓨전,['좋다'],좋다,좋다,1,[2]
맛은 있어서 자주 방문하는편인데 서비스가 너무 개박살났음로컬에서 장사좀된다고 너무교만함서비스 신경안쓰는편이면 한끼하기 무난,중식,"['있다', '교만하다']",있다 교만하다,있다 교만하다,0,[4]
주차는 불편하지만 맛나요,일식,['불편하다'],불편하다,불편하다,0,[13]
서비스도 너무 좋고 맛도 너무 좋아요,한식,"['좋다', '좋다']",좋다 좋다,좋다 좋다,1,"[2, 2]"
특별 비빔밥입니다가격은 약간 비싼듯 건강음식이라고 생각하면 될듯요,카페,"['이다', '비싸다']",이다 비싸다,이다 비싸다,0,"[11, 9]"
에어컨 고장이라 덥고ㅜ무엇보다 스끼는 별루ㅜ랍스타 세트시켯는데랍스타는 재방문의사 없음넘 블러그들 홍보한모양이다금액에 비해 비추ㅜㅜ,해산물,"['덥다', '없다']",덥다 없다,덥다 없다,0,"[25, 3]"
대게는 싼지 잘모르겟어요 대게를 사면 나오는 회값까지 붙은거같았어요게장비빔밥은 그냥 비빔밥 맛이어서 실망했어요다시가는건 글쎄요,해산물,"['같다', '실망하다']",같다 실망하다,같다 실망하다,0,"[5, 43]"
넘 맛있어용,일식,['맛있다'],맛있다,맛있다,1,[1]
돈까스는 그냥 왕돈까스가 나아요이건 소스에 담겨있어서 눅눅함 그리고 까르보나라는 소스가 좀 맛이없었어요ㅠㅠ싱거운 밋밋한맛 ,양식,"['눅눅하다', '없다', '싱겁다', '밋밋하다']",눅눅하다 없다 싱겁다 밋밋하다,눅눅하다 없다 싱겁다 밋밋하다,0,"[151, 3, 52]"
좋아요,한식,['좋다'],좋다,좋다,1,[2]
아이가 한 번 꼭 오자해서 드디어 왔어요 맛있네요,일식,['맛있다'],맛있다,맛있다,1,[1]
너무 맛있고 양도많아요,양식,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"[1, 8]"
맛있어요양도 많아용,일식,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"[1, 8]"
오늘 따라 스테이크가 너무 퍽퍽 역대급 별로 였어요 상품권 없었으면 너무 돈아까웠을듯 해요,양식,"['없다', '아깝다']",없다 아깝다,없다 아깝다,0,"[3, 20]"
직원분들 센스넘치시고 친절하시고 넘넘 맛있어용ㅎㅎ,한식,"['넘치다', '친절하다', '맛있다']",넘치다 친절하다 맛있다,넘치다 친절하다 맛있다,1,"[182, 7, 1]"
네이버 예약하구 아기랑 같이 갔는데 미리 아기의자도 준비해 주시고 음식도 진짜 맛있었어요 평일 오후였는데도 사람많았어요 꼭 예약하구 가시길 공간도 예뿌고 뷰도 좋구 데이트장소로 추천입니다,양식,"['맛있다', '많다', '좋다', '이다']",맛있다 많다 좋다 이다,맛있다 많다 좋다 이다,1,"[1, 8, 2, 11]"
오빠랑 데이트겸 핫플이라 가보았는데분위기도 좋고 직원분들도 친절하시고 좋았어요 타이거새우파스타의 새우도 큼직하면서 소스도 맛있기도 하고 리조또도 맛있기도 하고 먹고 나서 또생각나는거 같아요 데이트하러 또 방문해야겠어요 ,양식,"['좋다', '친절하다', '좋다', '큼직하다', '맛있다', '맛있다', '같다']",좋다 친절하다 좋다 큼직하다 맛있다 맛있다 같다,좋다 친절하다 좋다 큼직하다 맛있다 맛있다 같다,1,"[2, 7, 2, 1, 1, 5]"
별관이 공간이 좁아서 시끄럽다는 후기를 봤어서별관으로만 안갔음 했었는데하필 별관으로 자리 안내 해주셨어요역시나 단체모임때문에 좁은 공간이 울리면서 너무 시끄럽더라구요분위기 내러 갔는데 분위기가 안났어요시끄럽기만 하고 같이 간 일행에게 미안했어요음식은 맛있엇어요다음엔 낮에 꼭 찾아가보고 싶네요,양식,"['좁다', '시끄럽다', '좁다', '시끄럽다', '시끄럽다', '미안하다', '맛있다']",좁다 시끄럽다 좁다 시끄럽다 시끄럽다 미안하다 맛있다,좁다 시끄럽다 좁다 시끄럽다 시끄럽다 미안하다 맛있다,0,"[72, 29, 72, 29, 29, 85, 1]"
재방문이예요 분위기도 좋고 맛도 좋고친절한 가게입니다  코로나라서 예약으로 테이블간 거리 유지해주더라구요그리고 타이거새우 엄청 크고 맛잇어요ㅠㅠ메뉴들 다 맛잇어서 과식하고왔어요,양식,"['좋다', '좋다', '친절하다', '이다']",좋다 좋다 친절하다 이다,좋다 좋다 친절하다 이다,1,"[2, 2, 7, 11]"
맛있게 먹었어요 메밀전에 고기 싸먹는게 넘 맛있어요기본맛도 저한텐 매웠어요 주문하실때 참고 하세욥,한식,"['맛있다', '맛있다', '맵다']",맛있다 맛있다 맵다,맛있다 맛있다 매다,1,"[1, 1, 50]"
조용한 분위기는 좋았어요 평일이라 분 기다려 들어갔어요 불고기랑 육회 막국수 먹었어요  좋았어요 ,한식,"['조용하다', '좋다', '좋다']",조용하다 좋다 좋다,조용하다 좋다 좋다,1,"[58, 2, 2]"
생일이여서 사이먼 스테이크 방문 했어요맛은 메인 요리가 아쉬웠어요 한번은 갈법한 ,양식,['아쉽다'],아쉽다,아쉽다,0,[10]
좋아요,해산물,['좋다'],좋다,좋다,1,[2]
비싸요,양식,['비싸다'],비싸다,비싸다,0,[9]
너무 맛있게 먹었어요양도 많고 맛있고 사장님도 친절하시고 나갈때 셀프 커피까지 재방문 할게요,중식,"['맛있다', '많다', '맛있다', '친절하다']",맛있다 많다 맛있다 친절하다,맛있다 많다 맛있다 친절하다,1,"[1, 8, 1, 7]"
사람이없어서그런지유난히친절했네요,양식,"['없다', '난하다', '친절하다']",없다 난하다 친절하다,없다 난하다 친절하다,0,"[3, 7]"
세번 째 방문 입니다 뇨끼를 매번 시켰는데 맛이 변한거 같아서직원분께 계산 시  말씀 드리니이 날 뇨끼 재료가 달라졌다고 얘기 하셨어요주문 전 미리 얘기해주셨다면 시키지 않았을텐데너무 아쉬웠습니다그리고 뇨끼양이 평소보다 너무 작았어요 그 전에 방문했을 때 뇨끼 사진 비교해봐도요점심 시간에 방문해서 별관 창가자리로 배정 받고 식사했는데 에어컨을 켰는데도 문을 계속 열어놓아서 식사하는데 더웠습니다,양식,"['이다', '변하다', '같다', '아쉽다', '작다', '덥다']",이다 변하다 같다 아쉽다 작다 덥다,이다 변하다 같다 아쉽다 작다 덥다,0,"[11, 46, 5, 10, 44, 25]"
야경은 물론 내부까지 넘 예뻐요,카페,['예쁘다'],예쁘다,예쁘다,1,[28]
가게 입구 도로 초보자는 불안해요,중식,['불안하다'],불안하다,불안하다,0,[200]
직원분들도 친절하시고 추천 해주신 메뉴 먹었는데 너무 맛있게 잘 먹었어요 ,양식,"['친절하다', '맛있다']",친절하다 맛있다,친절하다 맛있다,1,"[7, 1]"
올때마다 감동인 라메르판지 새로나온 크룽지 너무 맛있어서 저번에 먹고 또 생각나서 죽을뻔했어요ㅎ 가까운 거리는 아니지만 올때마다 맛있는 커피랑 빵먹으면서 바다보면 그동안의 일상의 스트레스 날라가는거같아요  그리고 늘 새로운 신메뉴들이 많아서 먹어보고싶은게 너무 많아요 ㅠㅠ   앞으로도 번창하세요 또올께요,카페,"['새롭다', '맛있다', '뻔하다', '가깝다', '아니다', '맛있다', '같다', '새롭다', '많다', '많다']",새롭다 맛있다 뻔하다 가깝다 아니다 맛있다 같다 새롭다 많다 많다,새롭다 맛있다 뻔하다 가깝다 아니다 맛있다 같다 새롭다 많다 많다,1,"[51, 1, 157, 124, 6, 1, 5, 51, 8, 8]"
사장님과 직원분들 다 친절하시고 음식도 맛있습니다 재방문 의사 있습니다,한식,"['친절하다', '맛있다', '있다']",친절하다 맛있다 있다,친절하다 맛있다 있다,1,"[7, 1, 4]"
내년에 예정이네요 늘 맛있어서 자주갑니다 내년에는 더 자주갈거같네요,양식,"['맛있다', '같다']",맛있다 같다,맛있다 같다,1,"[1, 5]"
분위기 좋아요,카페,['좋다'],좋다,좋다,1,[2]
주차장도 넓고 친구랑 여행 와서 맛집 찾다가 온곳인데요 바다도 보이고 고기도 맛있고 산책할 곳도 있어서 좋습니다  가족끼리 오기 좋을것 같아용 ,한식,"['넓다', '맛있다', '있다', '좋다', '좋다', '같다']",넓다 맛있다 있다 좋다 좋다 같다,넓다 맛있다 있다 좋다 좋다 같다,1,"[16, 1, 4, 2, 2, 5]"
맛있었어요 ㅎㅎ,양식,['맛있다'],맛있다,맛있다,1,[1]
좋은아침이었는데 상호명이 바뀌었네요,디저트,['좋다'],좋다,좋다,1,[2]
맛은 괜춘한데 가격이 비싸네요추가육수도 천원이나 하고요,한식,['비싸다'],비싸다,비싸다,0,[9]
여기 맛집인거 모르는 사람 없게 해주세요,한식,['없다'],없다,없다,0,[3]
너무 맛있게 잘 먹었습니다,양식,['맛있다'],맛있다,맛있다,1,[1]
맛있어서 자주 옵니다,일식,['맛있다'],맛있다,맛있다,1,[1]
주말에  바쁜거 이해함  회전률 높이기 위한것도 이해함  커피에 빵  주문하고 시간분  앉아있는거 매출도움안되는것도 이해함 그런데 자리 이동도 아니고 그렇다고 자리가 부족했던것도 아니고 빈테이블이 여기저기 있는데  나가라니요  그래서 커피 더시킨다 했더니 작업하는사람 내보내라 했다고 나가라고 해서   당장 나오고 싶었지만 진행중인 온라인 회의 때문에 분 후에 나왔네요입구에  몇시간 이상 상주 불가라 쓰시던가요주말 작업 불가 쓰시던가요 요즘시대 커피숍 쫓겨나기 처음입니다 앞으로 친절한 스벅 가야겠네요직원만 친절함 머합니까 참내,카페,"['바쁘다', '안되다', '아니다', '부족하다', '아니다', '있다', '이다', '친절하다', '친절하다']",바쁘다 안되다 아니다 부족하다 아니다 있다 이다 친절하다 친절하다,바쁘다 안되다 아니다 부족하다 아니다 있다 이다 친절하다 친절하다,0,"[22, 19, 6, 39, 6, 4, 11, 7, 7]"
음식은 괜찮아요특히 육회는 가격대비 양이 좀 아쉽지만 맛은 있어요근데 주말이라 바쁘고 정신없는거 이해는 하지만 직원들이 너무 불친절하네요특히 주차관련해서는 개선이 좀 필요할듯 합니다주차요원들이 너무 불친절하여서 멀리서 왔는데 식당 들어가기전부터 기분이 너무 상했고 마음이 불편했습니다,한식,"['괜찮다', '아쉽다', '있다', '바쁘다', '없다', '불친절하다', '필요하다', '불친절하다', '불편하다']",괜찮다 아쉽다 있다 바쁘다 없다 불친절하다 필요하다 불친절하다 불편하다,괜찮다 아쉽다 있다 바쁘다 없다 불친절하다 필요하다 불친절하다 불편하다,0,"[17, 10, 4, 22, 3, 14, 57, 14, 13]"
늦게가면딸기없음,디저트,['없다'],없다,없다,0,[3]
이런 최악의 식당 처음이에요리뷰 안쓰는데 쓰게 만드는 식당시에 가서 주문 후 돈가스 나오는 데만 분 걸리고 이후에 기본음식 세팅 후 대게 모듬회 나오는 데 기다린기간 분 음식 사이사이 걸리는 시간은 물론이고 머무는 시간동안 지쳐서 나옴벨눌러도 직원들 반응없고 신경도 안쓰시던데 다신 올 일 없을 듯,해산물,"['이렇다', '없다', '없다']",이렇다 없다 없다,이렇다 없다 없다,0,"[37, 3, 3]"
크랩로제에서 탄맛이나서 다 남겼어요 리조또도 밥이랑소스가 따로 놀구요 기대했는데 너무 실망했습니다 파스타에선 머리카락도 나왔어요 ,양식,"['기대하다', '실망하다']",기대하다 실망하다,기대하다 실망하다,0,"[61, 43]"
가성비로 즐기는 맛집이에요 사람이 많을땐 피자도 바로바로 나와서 따뜻해서 좋아요,양식,"['많다', '따뜻하다', '좋다']",많다 따뜻하다 좋다,많다 따뜻하다 좋다,1,"[8, 107, 2]"
주차가 어려워 조금 아쉬웠지만음식맛이 최고였어요모든 메뉴를 먹어보고 싶네요,양식,"['어렵다', '아쉽다']",어렵다 아쉽다,어렵다 아쉽다,0,"[70, 10]"
외식하기 좋아요,양식,['좋다'],좋다,좋다,1,[2]
분위기도 좋고 맛있어요,양식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
인스타에서 보고 친구와 급 만남을 가졌는데 평일 낮시간이었는데도  대기번이었어요사람들이 자꾸자꾸 들어오는데 맛집의 포스가 느껴졌어요ㅎ대기는 분 안쪽이었고 음식도 직원분들이 빠르고 친절하게 조리해주셔서 너무 좋았습니다일단 음식이 아주아주 맛나네요그래서 아이들주려고 예정에 없던 밀키트도 구매했네요담번에는 가족들과 방문하고싶습니다잘 먹고 갑니다,한식,"['빠르다', '친절하다', '좋다', '없다']",빠르다 친절하다 좋다 없다,빠르다 친절하다 좋다 없다,1,"[136, 7, 2, 3]"
매니저라는 사람 너무 불친절 하구요나머지 직원분들이랑 많이 비교 되더라구요매니저라는사람이 이렇게 불친절한 식당은 살다 처음 겪어봐요 ㅋㅋ매니저님 표정관리 하는거부터 다시 배워야겠어요 사장님  ,한식,['불친절하다'],불친절하다,불친절하다,0,[14]
어제오고 또 왔어요 리뷰쓰면 층 커피점에서 무료커피 준다더니 직원도 없네요ㅜㅜ,한식,['없다'],없다,없다,0,[3]
가족들이랑 종종 오는 곳인데 평일에왔는데 가격차이가 나서 그런지 메뉴가 좀 없고 맛도 좀 없었습미다 그리고 더운날인데 매장이 너무 더웠어요자주왔던곳이라 만족하고 오던 곳인데 이제 또오기 그렇네요,양식,"['그렇다', '없다', '없다', '밉다', '덥다', '덥다', '만족하다', '그렇다']",그렇다 없다 없다 밉다 덥다 덥다 만족하다 그렇다,그렇다 없다 없다 밉다 덥다 덥다 만족하다 그렇다,0,"[12, 3, 3, 71, 25, 25, 35, 12]"
괜찮음,카페,['괜찮다'],괜찮다,괜찮다,1,[17]
좋았습니다,양식,['좋다'],좋다,좋다,1,[2]
오랜만에 다시 왔는데 역시 맛있어요,한식,['맛있다'],맛있다,맛있다,1,[1]
굳ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비싸디만 맛잇아요,디저트,"['굳다', '비싸다']",굳다 비싸다,굳다 비싸다,0,"[96, 9]"
울산에 몇 없는 맛집,양식,['없다'],없다,없다,0,[3]
커피가 맛있어요,디저트,['맛있다'],맛있다,맛있다,1,[1]
